Region_nam,supply_mean,supply_sd,supply_lower,supply_upper,demand_mean,demand_sd,demand_lower,demand_upper
Pacific Northwest,1002.959989369605,190.53308472774555,812.4269046418594,1193.4930740973505,5.8660736372632325,1.797436272328691,4.068637364934542,7.663509909591923
Northeast,594.248015589055,109.7412474875396,484.5067681015154,703.9892630765945,3.7518877070573287,0.9990703711716306,2.752817335885698,4.750958078228959
Tennessee-Missouri,442.97295855517865,128.21145773430942,314.76150082086923,571.1844162894881,4.408172098976117,1.3104666728146337,3.097705426161483,5.718638771790751
Mississippi Embayment,425.8426894210838,198.88444527799297,226.9582441430908,624.7271346990767,64.48459131991937,26.130254442761355,38.35433687715802,90.61484576268073
Gulf Coast,395.4774446049371,178.9245370208231,216.552907584114,574.4019816257602,4.51371856800889,1.6105042892943504,2.903214278714539,6.12422285730324
Atlantic Coast,379.7121914602498,116.18190454098733,263.5302869192625,495.89409600123713,4.946563216035289,1.3813411942119946,3.5652220218232937,6.3279044102472835
Florida,295.4265504470324,54.93927612472062,240.4872743223118,350.365826571753,20.13037663249475,1.7357187659487427,18.39465786654601,21.866095398443495
Great Lakes,295.32737582264826,50.32038644144716,245.0069893812011,345.64776226409543,4.611260084160446,1.6202163780105425,2.991043706149904,6.231476462170988
Midwest,294.3056986912124,61.79680436762245,232.50889432358994,356.1025030588348,12.984232133080758,5.321294266372845,7.662937866707913,18.3055263994536
Columbia-Snake,217.9527047267335,55.136304218812434,162.81640050792106,273.0890089455459,21.16274419873928,6.543567590736023,14.619176608003256,27.7063117894753
Souris-Red-Rainy,84.7411931083457,37.234725285401325,47.50646782294437,121.97591839374702,5.47619860719832,2.3042157861777426,3.1719828210205776,7.780414393376063
California-Nevada,70.7344096635716,44.08419464995501,26.650215013616588,114.8186043135266,30.811178361078085,7.944313634818979,22.866864726259106,38.75549199589706
Southern High Plains,57.613502925617695,29.556243693525264,28.05725923209243,87.16974661914296,26.608477994908736,7.107483311655674,19.50099468325306,33.71596130656441
Texas,50.43149501930287,31.181161553788336,19.250333465514537,81.61265657309121,9.634814656299884,2.2019848882623765,7.432829768037507,11.836799544562261
Central Rockies,49.9011501022278,17.578875467642174,32.322274634585625,67.48002556986998,6.332315520456948,1.7573166683329002,4.574998852124048,8.089632188789848
Northern High Plains,44.221443849547626,14.205526714289778,30.015917135257848,58.4269705638374,4.750661289340524,1.5732000229472467,3.1774612663932773,6.323861312287771
Central High Plains,40.85451743666876,14.11201018721575,26.742507249453006,54.96652762388451,32.924197420088625,12.524694761203657,20.39950265888497,45.44889218129228
Southwest Desert,11.856148369584474,5.324561858045385,6.531586511539089,17.18071022762986,13.01581744802683,2.150588888979892,10.865228559046939,15.166406337006721
